x1,x2
0.005,-0.005
0.0050693,-0.0049587
0.0051383,-0.0049171
0.0052069,-0.0048752
0.0052752,-0.004833
0.005487,-0.0046988
0.0056954,-0.0045617
0.0059006,-0.004422
0.0061024,-0.0042798
0.0063236,-0.0041184
0.0065407,-0.0039542
0.0067537,-0.0037875
0.0069625,-0.0036185
0.0071803,-0.0034364
0.0073935,-0.0032521
0.0076022,-0.0030658
0.0078065,-0.0028777
0.0080193,-0.0026756
0.0082273,-0.0024719
0.0084306,-0.0022668
0.0086293,-0.0020604
0.0088358,-0.0018396
0.0090374,-0.0016178
0.0092342,-0.0013951
0.0094263,-0.0011718
0.0096255,-0.00093382
0.0098197,-0.00069541
0.010009,-0.00045666
0.010194,-0.0002177
0.010385,3.6196e-05
0.010572,0.00029007
0.010754,0.00054382
0.010931,0.00079733
0.011115,0.0010667
0.011294,0.0013356
0.011469,0.001604
0.011639,0.0018717
0.011816,0.0021567
0.011989,0.0024409
0.012157,0.0027241
0.01232,0.0030063
0.012491,0.0033075
0.012658,0.0036074
0.01282,0.0039062
0.012978,0.0042036
0.013143,0.0045218
0.013304,0.0048384
0.013461,0.0051535
0.013614,0.0054671
0.013774,0.0058032
0.01393,0.0061375
0.014082,0.0064701
0.01423,0.0068008
0.014386,0.007156
0.014537,0.0075092
0.014684,0.0078602
0.014828,0.0082092
0.014979,0.0085847
0.015127,0.0089579
0.01527,0.0093287
0.015409,0.0096971
0.015557,0.010094
0.0157,0.010488
0.015839,0.01088
0.015975,0.011269
0.016118,0.011689
0.016257,0.012106
0.016392,0.01252
0.016524,0.012931
0.016663,0.013374
0.016798,0.013815
0.01693,0.014252
0.017057,0.014686
0.017192,0.015155
0.017323,0.015621
0.017451,0.016083
0.017575,0.016541
0.017706,0.017037
0.017833,0.017528
0.017956,0.018016
0.018076,0.0185
0.018202,0.019024
0.018325,0.019543
0.018444,0.020058
0.01856,0.020569
0.018681,0.021121
0.0188,0.021669
0.018914,0.022212
0.019025,0.022751
0.019143,0.023333
0.019256,0.023911
0.019366,0.024484
0.019472,0.025052
0.019584,0.025666
0.019693,0.026274
0.019798,0.026877
0.019899,0.027476
0.020006,0.028121
0.020109,0.028761
0.020209,0.029396
0.020305,0.030027
0.020406,0.030705
0.020503,0.031377
0.020597,0.032044
0.020688,0.032707
0.020783,0.033418
0.020874,0.034124
0.020962,0.034824
0.021047,0.035518
0.021136,0.036263
0.021221,0.037002
0.021302,0.037736
0.021381,0.038463
0.021463,0.039242
0.021541,0.040014
0.021616,0.04078
0.021688,0.041541
0.021763,0.042352
0.021834,0.043157
0.021902,0.043956
0.021967,0.044749
0.022034,0.045594
0.022098,0.046432
0.022159,0.047264
0.022218,0.048089
0.022279,0.048997
0.022337,0.049897
0.022393,0.050791
0.022445,0.051677
0.0225,0.052652
